store_id,transaction_date,store_sales_T,store_sales_T-1,Espresso,Americano,Latte,Cappuccino,Flat White,Mocha,Hot Chocolate,Matcha Latte,num_male_T-1,num_female_T-1,num_unknown_T-1,avg_age_T-1
1,2023-07-02,66456.0,67301.5,5754.0,7357.0,8112.0,7912.0,9522.0,9633.0,8316.0,9850.0,2,0,1980,50.0
1,2023-07-03,67628.5,66456.0,6168.0,7119.0,8032.0,7504.0,9333.0,9680.5,9972.0,9820.0,1,1,2008,54.0
1,2023-07-04,65243.5,67628.5,6126.0,6223.0,7704.0,7792.0,8658.0,10326.5,9144.0,9270.0,3,1,1953,33.0
1,2023-07-05,69179.0,65243.5,6288.0,7105.0,8504.0,8520.0,8928.0,9785.0,9189.0,10860.0,2,3,2063,36.0
1,2023-07-06,66620.5,69179.0,5982.0,7133.0,6960.0,8520.0,9198.0,9604.5,9063.0,10160.0,4,2,2015,27.0
1,2023-07-07,68180.5,66620.5,5814.0,7126.0,8408.0,8504.0,9864.0,9661.5,8883.0,9920.0,6,5,2046,35.0
1,2023-07-08,69826.5,68180.5,6426.0,7014.0,8504.0,8504.0,9441.0,9775.5,10242.0,9920.0,4,2,2096,39.0
1,2023-07-09,68090.0,69826.5,6024.0,7686.0,7520.0,8424.0,9351.0,9481.0,9144.0,10460.0,3,2,2061,39.0
1,2023-07-10,66634.5,68090.0,5970.0,7168.0,7816.0,7664.0,8847.0,9395.5,8964.0,10810.0,2,4,1991,30.0
1,2023-07-11,63285.0,66634.5,5826.0,6846.0,7824.0,7216.0,8667.0,9044.0,8982.0,8880.0,1,4,1912,31.0
1,2023-07-12,67896.5,63285.0,6162.0,7266.0,7736.0,8064.0,8802.0,10288.5,9378.0,10200.0,7,1,2060,35.0
1,2023-07-13,66878.0,67896.5,6108.0,7469.0,7880.0,8160.0,8415.0,9937.0,9279.0,9630.0,0,5,1990,40.0
1,2023-07-14,66324.0,66878.0,5748.0,7084.0,8008.0,8400.0,8766.0,9082.0,9216.0,10020.0,3,0,2009,45.0
1,2023-07-15,64700.0,66324.0,5754.0,7217.0,8632.0,7792.0,8523.0,8550.0,8622.0,9610.0,3,3,1960,32.0
1,2023-07-16,68216.5,64700.0,6102.0,7329.0,8088.0,8288.0,8784.0,9927.5,9918.0,9780.0,3,4,2056,40.0
1,2023-07-17,71002.0,68216.5,6396.0,7350.0,8440.0,8504.0,10287.0,10165.0,9000.0,10860.0,0,1,2100,59.0
1,2023-07-18,65222.5,71002.0,5502.0,7413.0,7784.0,7992.0,9045.0,9566.5,8550.0,9370.0,1,4,1966,32.0
1,2023-07-19,67502.0,65222.5,6516.0,7168.0,8088.0,7496.0,8829.0,9595.0,9720.0,10090.0,3,6,2063,31.0
1,2023-07-20,69202.0,67502.0,5958.0,7567.0,8680.0,8552.0,8883.0,10583.0,8649.0,10330.0,2,7,2027,40.0
1,2023-07-21,66845.0,69202.0,6066.0,6790.0,7128.0,8224.0,10035.0,9747.0,9135.0,9720.0,1,1,2014,45.0
1,2023-07-22,64746.0,66845.0,5424.0,6713.0,8320.0,7752.0,8208.0,8911.0,9288.0,10130.0,5,5,1974,46.0
1,2023-07-23,67082.0,64746.0,6324.0,6811.0,7328.0,8536.0,9063.0,9709.0,9531.0,9780.0,5,0,2001,25.0
1,2023-07-24,66549.0,67082.0,6294.0,7056.0,7912.0,7984.0,8595.0,9766.0,9162.0,9780.0,6,4,2005,39.0
1,2023-07-25,67004.5,66549.0,5382.0,7035.0,7992.0,8048.0,9486.0,9395.5,9306.0,10360.0,2,3,2017,38.0
1,2023-07-26,70646.5,67004.5,6072.0,7924.0,8456.0,9248.0,10107.0,9338.5,9081.0,10420.0,4,2,2091,36.0
1,2023-07-27,65515.0,70646.5,5346.0,6713.0,7928.0,8256.0,9540.0,9253.0,8829.0,9650.0,5,3,1969,31.0
1,2023-07-28,67119.0,65515.0,5484.0,6860.0,8280.0,8048.0,9045.0,9424.0,8748.0,11230.0,3,3,2004,38.0
1,2023-07-29,62700.0,67119.0,6114.0,6720.0,7160.0,8408.0,9108.0,8455.0,8325.0,8410.0,4,3,1914,33.0
1,2023-07-30,65473.0,62700.0,5922.0,7231.0,7504.0,7656.0,8541.0,9576.0,9063.0,9980.0,9,4,1942,37.0
1,2023-07-31,69613.5,65473.0,6702.0,6657.0,9200.0,8064.0,9243.0,10345.5,9342.0,10060.0,10,3,2045,33.0
1,2023-08-01,64912.5,69613.5,6144.0,6902.0,8200.0,7888.0,8433.0,9395.5,8550.0,9400.0,4,6,1924,37.0
1,2023-08-02,66449.5,64912.5,5562.0,7189.0,8080.0,7584.0,8514.0,9509.5,8991.0,11020.0,2,3,1968,52.0
1,2023-08-03,66074.0,66449.5,6888.0,6734.0,7960.0,7936.0,8145.0,9405.0,9216.0,9790.0,2,8,2005,35.0
